,Chemical,Url,Dates,Uses
168,Carbon Tetrachloride,https://oehha.ca.gov/chemicals/carbon-tetrachloride,['10/01/1987'],"Dry cleaning agent, fire extinguisher, solvent, degreaser, refrigerant, chlorofluorocarbon feedstock. Use as fumigant banned in US in 1986 except for preservation of museum artifacts. Synthesis, use as CFC feedstock, and agricultural use have ceased in California."
169,Carbon-Black Extracts,https://oehha.ca.gov/chemicals/carbon-black-extracts,['01/01/1990'],[]
170,Carbonyl sulfide,https://oehha.ca.gov/chemicals/carbonyl-sulfide,[],Used as an intermediate in the production of thiocarbamate herbicides.
171,Carboplatin,https://oehha.ca.gov/chemicals/carboplatin,['07/01/1990'],Medicine (antineoplastic)
172,n-Carboxymethyl-n-Nitrosourea,https://oehha.ca.gov/chemicals/n-carboxymethyl-n-nitrosourea,['01/25/2002'],Naturally occurring; formed from reaction of glycocyamine and nitrite
173,Catechol,https://oehha.ca.gov/chemicals/catechol,['07/15/2003'],"Production of pesticides, flavorings, and fragrances"
174,Ceramic fibers (airborne particles of respirable size),https://oehha.ca.gov/chemicals/ceramic-fibers-airborne-particles-respirable-size,['07/01/1990'],[]
175,Cerivastatin Sodium,https://oehha.ca.gov/chemicals/cerivastatin-sodium,[],"A Hydroxymethylglutaryl-CoA-Reductase Inhibitor, or statin, that reduces the plasma concentrations of LDL-cholesterol, Apolipoprotein B, and Triglycerides, while increasing HDL-cholesterol levels in patients with hypercholesterolemia and those at risk for cardiovascular diseases"
176,Certain combined chemotherapy for lymphomas,https://oehha.ca.gov/chemicals/certain-combined-chemotherapy-lymphomas,['02/27/1987'],[]
177,Chenodiol,https://oehha.ca.gov/chemicals/chenodiol,['04/01/1990'],Medicine (dissolution of gallstones); research chemical (proteomics); endogenously produced bile acid
178,Chloral,https://oehha.ca.gov/chemicals/chloral,['09/13/2013'],Production of pharmaceuticals
179,Chloral Hydrate,https://oehha.ca.gov/chemicals/chloral-hydrate,['09/13/2013'],Medicine (sedative); not approved by FDA or EMA
180,Chloramben,https://oehha.ca.gov/chemicals/chloramben,[],Herbicide
181,Chlorambucil,https://oehha.ca.gov/chemicals/chlorambucil,"['02/27/1987', '01/01/1989']","Medicine (leukemia treatment), insect sterilant"
182,Chloramphenicol,https://oehha.ca.gov/chemicals/chloramphenicol,['10/01/1989'],[]
183,Chloramphenicol Sodium Succinate,https://oehha.ca.gov/chemicals/chloramphenicol-sodium-succinate,['09/27/2013'],Medicine (antibiotic)
184,Chlorantraniliprole,https://oehha.ca.gov/chemicals/chlorantraniliprole,[],broad-spectrum anthranilic diamide insecticide
185,Chlorate,https://oehha.ca.gov/chemicals/chlorate,[],"by-product of water disinfection, herbicide"
186,Chlorcyclizine Hydrochloride,https://oehha.ca.gov/chemicals/chlorcyclizine-hydrochloride,['07/01/1987'],Medicine (antihistimine)
187,Chlordane,https://oehha.ca.gov/chemicals/chlordane,['07/01/1988'],Insecticide; fumigant. Use banned in the US in 1988.
188,Chlordecone,https://oehha.ca.gov/chemicals/chlordecone,"['01/01/1988', '01/01/1989']",Insecticide. Production ended in US in 1975; use banned by Stockholm Convention (not ratified by the US) in 2010.
189,Chlordiazepoxide,https://oehha.ca.gov/chemicals/chlordiazepoxide,['01/01/1992'],Drug used to relieve anxiety and to control agitation caused by alcohol withdrawal.
190,Chlordiazepoxide Hydrochloride,https://oehha.ca.gov/chemicals/chlordiazepoxide-hydrochloride,['01/01/1992'],Medicine (benzodiazepine sedative)
191,Chlordimeform,https://oehha.ca.gov/chemicals/chlordimeform,['01/01/1989'],Acaricide
192,Chlorendic Acid,https://oehha.ca.gov/chemicals/chlorendic-acid,['07/01/1989'],"Flame retardant, hardening agent; chemical intermediate for plasticizers"
193,Chlorinated paraffins (Avg. chain length C12; approx. 60 percent chlorine by weight),https://oehha.ca.gov/chemicals/chlorinated-paraffins-avg-chain-length-c12-approx-60-percent-chlorine-weight,['07/01/1989'],"Lubricant additive in metalworking fluid; flame retardant in plastics, rubber, and paints; water resistance improver; component of sealants, adhesives, detergents, finished leather; permitted as indirect food additive"
194,Chlorine,https://oehha.ca.gov/chemicals/chlorine,[],"Bleach, disinfectant, controls odor; demulsifying agent in water treatment; manufacture of rubber, plastics, pesticides"
195,Chlorine Dioxide,https://oehha.ca.gov/chemicals/chlorine-dioxide,[],"Bleaching agent, antiseptic, bactericide; water treatment"
196,Chlorite,https://oehha.ca.gov/chemicals/chlorite,[],Water treatment disinfectant byproduct
197,Chlornapazine,https://oehha.ca.gov/chemicals/chlornapazine,['02/27/1987'],[]
198,3-Chloro-2-methylpropene,https://oehha.ca.gov/chemicals/3-chloro-2-methylpropene,['07/01/1989'],"Chemical intermediate in production of insecticides, plastics, and pharmaceuticals; textile and perfume additive"
199,"2-Chloro-4,6-diamino-1,3,5-triazine",https://oehha.ca.gov/chemicals/2-chloro-46-diamino-135-triazine,"['07/15/2016', '07/15/2016']","2-Chloro-4,6-diamino-1,3,5-triazine,"
200,1-Chloro-4-nitrobenzene,https://oehha.ca.gov/chemicals/1-chloro-4-nitrobenzene,['10/29/1999'],"Chemical intermediate in production of dyes, insecticides, rubber processing chemicals, and oil additives"
201,p-Chloro-o-toluidine,https://oehha.ca.gov/chemicals/p-chloro-o-toluidine,['01/01/1990'],"Chemical intermediate in manufacture of azo dyes, pigments, and chlordimeform (pesticide). Production and distribution ended in US in 1979; believed to be no longer produced or used worldwide."
202,5-Chloro-o-toluidine and its strong acid salts,https://oehha.ca.gov/chemicals/5-chloro-o-toluidine-and-its-strong-acid-salts,['10/24/1997'],[]
203,p-Chloro-o-toluidine Hydrochloride,https://oehha.ca.gov/chemicals/p-chloro-o-toluidine-hydrochloride,[],"Production of azo dyes in cotton, silk, acetate, and nylon; chemical intermediate in production of dyes and pigment. Previously used in manufacture of chlordimeform (pesticide), believed to be no longer produced or used worldwide."
204,"p-Chloro-o-toluidine, strong acid salts of",https://oehha.ca.gov/chemicals/p-chloro-o-toluidine-strong-acid-salts,['05/15/1998'],[]
205,4-Chloro-ortho-phenylenediamine,https://oehha.ca.gov/chemicals/4-chloro-ortho-phenylenediamine,['01/01/1988'],Synthesis of dyesand experimental pharmaceuticals; chemical intermediate in production of curing agent for epoxy resins; reagent in gas chromatography
206,"p-Chloro-α,α,α-trifluorotoluene (para-Chlorobenzo trifluoride, PCBTF)",https://oehha.ca.gov/chemicals/p-chloro-aaa-trifluorotoluene-para-chlorobenzo-trifluoride-pcbtf,['06/28/2019'],"Solvent used in paints, inks and coatings and as an industrial intermediate in the production of other chemicals (e.g.herbicides, dyes, pharmaceuticals)."
207,Chloroacetaldehyde,https://oehha.ca.gov/chemicals/chloroacetaldehyde,[],Used for and during the manufacture of certain chemicals; pesticide; preservative; also used for removing bark from tree trunks
208,p-Chloroaniline,https://oehha.ca.gov/chemicals/p-chloroaniline,['10/01/1994'],"Production of pesticides, pharmaceuticals, and dyes"
209,p-Chloroaniline Hydrochloride,https://oehha.ca.gov/chemicals/p-chloroaniline-hydrochloride,['05/15/1998'],[]
210,Chlorobenzene,https://oehha.ca.gov/chemicals/chlorobenzene,[],"Solvent (pesticide formulations), degreasing automobile parts; chemical intermediate in production of herbicides, dyes, and rubber. Formerly used in production of other chemicals, such as phenol and DDT."
211,4-Chlorobenzenesulfonic Acid,https://oehha.ca.gov/chemicals/4-chlorobenzenesulfonic-acid,[],Chemical contaminant generated as a byproduct of dichloro-diphenyl-trichloroethane (DDT) manufacturing
212,Chloroethane (Ethyl Chloride),https://oehha.ca.gov/chemicals/chloroethane-ethyl-chloride,['07/01/1990'],"Refrigerant, aerosol propellant, blowing agent for foam packaging; medicine (anesthetic; 'dead tooth' diagnosis); chemical intermediate in production of thickening agents"
213,1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea,https://oehha.ca.gov/chemicals/1-2-chloroethyl-3-4-methylcyclohexyl-1-nitrosourea,['10/01/1988'],[]
214,1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU) (Lomustine),https://oehha.ca.gov/chemicals/1-2-chloroethyl-3-cyclohexyl-1-nitrosourea-ccnu-lomustine,"['01/01/1988', '07/01/1990']",Medicine (antineoplastic)
215,Chlorofluoromethane,https://oehha.ca.gov/chemicals/chlorofluoromethane,[],Refrigerant
216,Chloroform,https://oehha.ca.gov/chemicals/chloroform,"['10/01/1987', '08/07/2009']","Solvent, reagent; production of dyes, pesticides; chemical intermediate; component of tobacco smoke. Formerly used as inhalational anaesthetic until 1976."
217,Chloromethyl Methyl Ether (Technical Grade),https://oehha.ca.gov/chemicals/chloromethyl-methyl-ether-technical-grade,['02/27/1987'],"Chemical intermediate; alkylating agent and solvent in the manufacture of water repellants, ion-exchange resins, and industrial polymers. The industrial use of CMME was widely curtailed in 1976, and is no longer produced in the US."
218,2 Chloronitrobenzene,https://oehha.ca.gov/chemicals/2-chloronitrobenzene,['09/13/2019'],[]
219,Chloropicrin,https://oehha.ca.gov/chemicals/chloropicrin,[],"Fumigant, nematicide. Formerly used as choking agent in chemical warfare and riot control"
220,Chloroprene,https://oehha.ca.gov/chemicals/chloroprene,['06/02/2000'],"Production of polychloroprene solid (Neoprene, Bayprene) and polychloroprene liquid dispersions"
221,2-Chloropropionic Acid,https://oehha.ca.gov/chemicals/2-chloropropionic-acid,['08/07/2009'],[]
222,Chlorothalonil,https://oehha.ca.gov/chemicals/chlorothalonil,['01/01/1989'],"Fungicide, bactericide, nematocide, algaecide, insecticide; preservative additive in paints, resins, emulsions, and coatings"
223,2-Chlorotoluene,https://oehha.ca.gov/chemicals/2-chlorotoluene,[],[]
224,Chlorotrianisene,https://oehha.ca.gov/chemicals/chlorotrianisene,['09/01/1996'],Medicine (synthetic estrogen)
225,Chlorozotocin,https://oehha.ca.gov/chemicals/chlorozotocin,['01/01/1992'],Medicine (leukemia treatment)
226,Chlorpyrifos,https://oehha.ca.gov/chemicals/chlorpyrifos,['12/15/2017'],Organophosphate pesticide
227,Chlorsulfuron,https://oehha.ca.gov/chemicals/chlorsulfuron,"['05/14/1999', '05/14/1999', '05/14/1999']",[]
228,Chromic Trioxide,https://oehha.ca.gov/chemicals/chromic-trioxide,[],"Metal finishing and plating; medicine (caustic to remove warts and other growths); manufacture in wood preservation products, catalysts, chromium dioxide, and pigments."
229,Chromium III,https://oehha.ca.gov/chemicals/chromium-iii,[],"Used as a pigment, as a mordant, and as a catalyst for organic reactions."
230,Chromium-hexavalent,https://oehha.ca.gov/chemicals/chromium-hexavalent,"['02/27/1987', '12/19/2008', '12/19/2008', '12/19/2008']","Production of stainless steel, textile dyes, wood preservatives, leather tanning, anti-corrosion and conversion coatings, electroplating"
231,Chrysene,https://oehha.ca.gov/chemicals/chrysene,['01/01/1990'],"Manufacture of dyes, research chemical; natural constituent of coal tar; component of creosote (wood preservative) and tobacco smoke"
232,Ciclosporin,https://oehha.ca.gov/chemicals/ciclosporin,['01/01/1992'],[]
233,Cidofovir,https://oehha.ca.gov/chemicals/cidofovir,"['01/29/1999', '01/29/1999', '01/29/1999', '01/29/1999']",Medicine (treatment of CMV retinitis)
234,Cinnamyl Anthranilate,https://oehha.ca.gov/chemicals/cinnamyl-anthranilate,['07/01/1989'],Fragrance additive. Banned as food additive (flavoring agent) in the US in 1985.
235,Cisplatin,https://oehha.ca.gov/chemicals/cisplatin,['10/01/1988'],Medicine (treatment of cancer)
236,Citrus Red No. 2,https://oehha.ca.gov/chemicals/citrus-red-no-2,['10/01/1989'],Dye to color the skin of oranges
237,Cladribine,https://oehha.ca.gov/chemicals/cladribine,['09/01/1996'],Medicine (treatment of chronic lymphocytic leukemia)
238,Clarithromycin,https://oehha.ca.gov/chemicals/clarithromycin,['05/01/1997'],Medicine (antibiotic)
239,Clobetasol Propionate,https://oehha.ca.gov/chemicals/clobetasol-propionate,"['05/15/1998', '05/15/1998']","Medicine (corticosteroid, treatment for skin disorders)"
240,Clodinafop-Propargyl,https://oehha.ca.gov/chemicals/clodinafop-propargyl,[],Herbicide used on spring wheat
241,Clofibrate,https://oehha.ca.gov/chemicals/clofibrate,['09/01/1996'],Medicine (antilipidemic)
242,Clomiphene and its salts,https://oehha.ca.gov/chemicals/clomiphene-and-its-salts,[],"Pharmaceutical agent used to induce ovulation in anovulatory females, and to induce normal menstrual cycling in amenorrhea or oligomenorrhea. Clomiphene citrate has also been used in men to treat oligospermia."
243,Clomiphene Citrate,https://oehha.ca.gov/chemicals/clomiphene-citrate,"['05/24/2013', '04/01/1990']",Medicine (fertility treatment)
244,Clorazepate Dipotassium,https://oehha.ca.gov/chemicals/clorazepate-dipotassium,['10/01/1992'],[]
245,Cobalt (II) Oxide,https://oehha.ca.gov/chemicals/cobalt-ii-oxide,['07/01/1992'],"Cobalt(II) oxide or cobalt monoxide is an inorganic compound that appears as olive-green to red crystals, or as a greyish or black powder. It is used extensively in the ceramics industry as an additive to create blue colored glazes and enamels as well as in the chemical industry for producing cobalt(II) salts."
246,Cobalt Metal Powder,https://oehha.ca.gov/chemicals/cobalt-metal-powder,['07/01/1992'],"Alloys, batteries, catalysts, pigments"
247,Cobalt Sulfate,https://oehha.ca.gov/chemicals/cobalt-sulfate,['05/20/2005'],"Component of storage batteries; preparation of pigments, manufacture of other cobalt salts; mineral supplement in animal feeds"
248,Cobalt Sulfate Heptahydrate,https://oehha.ca.gov/chemicals/cobalt-sulfate-heptahydrate,['06/02/2000'],[]
249,Cocaine,https://oehha.ca.gov/chemicals/cocaine,"['07/01/1989', '07/01/1989']",Recreational drug
250,Coconut oil diethanolamine condensate (cocamide diethanolamine),https://oehha.ca.gov/chemicals/coconut-oil-diethanolamine-condensate-cocamide-diethanolamine,['06/22/2012'],[]
251,Codeine Phosphate,https://oehha.ca.gov/chemicals/codeine-phosphate,['05/15/1998'],"Medicine (analgesic, antitussive, antidiarrheal opiate)"
252,Coke Oven Emissions,https://oehha.ca.gov/chemicals/coke-oven-emissions,['02/27/1987'],[]
253,Colchicine,https://oehha.ca.gov/chemicals/colchicine,"['10/01/1992', '10/01/1992']",Medicine (treatment for gout)
254,Conjugated Estrogens,https://oehha.ca.gov/chemicals/conjugated-estrogens,"['02/27/1987', '04/01/1990']",[]
255,Copper,https://oehha.ca.gov/chemicals/copper,[],"Electrical conductors, roofing and plumbing, industrial machinery, pesticide, antibiofouling surfaces; alloys for currency, jewelry, decoration, etc.; component of tobacco smoke"
256,Copper and Copper Compounds,https://oehha.ca.gov/chemicals/copper-and-copper-compounds,[],"For chemical-specific screening levels for use in assessing contaminated sites, please see HHRA Note 3 (DTSC HERO). https://www.dtsc.ca.gov/assessingrisk/humanrisk2.cfm"
257,Coumarin,https://oehha.ca.gov/chemicals/coumarin,[],"Pharmaceutic aid (flavor); deodorizing and odor enhancing agent in soaps, tobacco and rubber products;"
258,Creosote (Coal Tar-Derived),https://oehha.ca.gov/chemicals/creosote-coal-tar-derived,[],"Wood preservative, waterproofing agent, anti-fouling agent, lubricant, animal repellent, insecticide, animal dip, fungicide; component of roofing pitch, fuel oil; distillation product of coal tar, product of incomplete coal combustion"
259,Creosotes,https://oehha.ca.gov/chemicals/creosotes,['10/01/1988'],[]
260,p-Cresidine,https://oehha.ca.gov/chemicals/p-cresidine,['01/01/1988'],Chemical intermediate in production of azo dyes and pigments
261,Cresol Mixtures,https://oehha.ca.gov/chemicals/cresol-mixtures,[],"Extracted from coal tar and petroleum, or synthesized by sulfonation or oxidation of toluene; used in production of plastic, resins, coumarin, herbicides, degreasers, fumigants, pharmaceuticals, dyes; component of tobacco smoke"
